,State,Account length,Area code,International plan,Voice mail plan,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
1703,39,121,408,2116,1674,207.9,98,35.34,210.5,96,17.89,109.6,114,4.93,7.7,2,2.08,2,0
1624,63,122,415,2116,1674,107.9,88,18.34,235.8,109,20.04,228.6,119,10.29,9.5,3,2.57,2,0
1198,51,171,415,2116,1674,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,0
3116,53,141,415,2116,1674,185.1,126,31.47,233.0,98,19.81,152.2,106,6.85,9.1,7,2.46,0,0
1349,53,52,415,2116,1674,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,0
289,43,51,510,2116,1674,227.2,89,38.62,194.4,106,16.52,243.4,126,10.95,14.9,2,4.02,0,0
850,36,127,408,2116,659,166.0,114,28.22,174.5,103,14.83,244.9,68,11.02,10.2,6,2.75,1,0
1949,56,104,415,217,1674,148.2,108,25.19,161.8,113,13.75,259.3,103,11.67,11.0,4,2.97,0,0
3176,44,77,408,2116,659,204.9,84,34.83,201.0,102,17.09,219.7,97,9.89,11.3,5,3.05,0,0
2881,40,107,415,2116,1674,204.5,108,34.77,162.4,110,13.8,155.0,102,6.98,13.4,1,3.62,3,0
2750,40,105,510,2116,1674,212.0,113,36.04,226.6,128,19.26,193.6,114,8.71,8.9,7,2.4,3,0
2331,31,75,415,2116,1674,138.5,110,23.55,153.2,86,13.02,215.6,103,9.7,11.1,7,3.0,1,0
2743,43,194,510,2116,1674,193.3,106,32.86,169.0,150,14.37,225.2,122,10.13,11.8,4,3.19,0,0
1098,51,128,415,2116,659,171.2,88,29.1,145.7,109,12.38,196.8,93,8.86,14.0,6,3.78,1,0
922,56,173,510,2116,659,232.4,96,39.51,211.9,118,18.01,273.0,102,12.29,5.0,5,1.35,3,0
2212,34,76,510,2116,1674,186.1,96,31.64,211.6,100,17.99,230.6,100,10.38,8.0,4,2.16,0,0
268,33,101,415,217,1674,193.7,108,32.93,186.6,98,15.86,223.0,100,10.04,11.6,8,3.13,0,0
1053,56,99,408,2116,1674,190.4,102,32.37,158.1,107,13.44,271.5,92,12.22,11.2,4,3.02,2,0
3086,51,169,408,2116,1674,266.7,105,45.34,158.2,88,13.45,287.7,111,12.95,13.8,3,3.73,3,1
2473,50,148,510,2116,1674,239.3,84,40.68,195.7,85,16.63,232.6,104,10.47,10.9,3,2.94,1,0
2317,39,132,510,2116,1674,181.1,121,30.79,314.4,109,26.72,246.7,81,11.1,4.2,9,1.13,2,0
1369,31,128,408,2116,1674,158.8,75,27.0,264.8,91,22.51,270.0,77,12.15,7.6,7,2.05,1,0
1248,53,67,510,2116,659,230.6,40,39.2,189.1,58,16.07,162.2,115,7.3,9.4,2,2.54,1,0
493,44,180,415,2116,1674,143.3,134,24.36,180.5,113,15.34,184.2,87,8.29,10.1,4,2.73,1,0
1081,56,148,510,2116,659,93.6,137,15.91,193.8,72,16.47,144.9,84,6.52,17.5,5,4.73,1,0
1479,55,67,415,2116,659,95.0,94,16.15,291.2,73,24.75,159.6,114,7.18,10.0,2,2.7,2,0
125,42,79,510,2116,1674,130.2,119,22.13,290.9,121,24.73,194.8,140,8.77,14.0,6,3.78,3,0
2919,51,76,510,2116,1674,90.5,142,15.39,211.7,75,17.99,194.9,76,8.77,9.3,2,2.51,1,0
313,45,64,510,2116,659,210.0,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8,0
1195,43,147,408,2116,1674,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1,0
1542,51,151,510,2116,1674,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,5.8,2,1.57,3,0
2321,56,73,510,2116,659,198.2,107,33.69,139.1,123,11.82,199.1,139,8.96,8.8,1,2.38,2,0
2555,36,120,408,217,1674,179.9,72,30.58,170.0,98,14.45,190.6,89,8.58,13.8,2,3.73,1,1
2677,44,103,408,2116,1674,160.8,91,27.34,155.8,82,13.24,254.3,103,11.44,8.5,3,2.3,1,0
2725,39,118,510,2116,1674,113.0,80,19.21,150.1,87,12.76,204.3,115,9.19,10.8,4,2.92,2,0
327,50,105,415,217,1674,273.9,119,46.56,278.6,103,23.68,255.3,90,11.49,10.9,7,2.94,1,1
965,53,45,415,2116,1674,78.2,127,13.29,253.4,108,21.54,255.0,100,11.48,18.0,3,4.86,1,0
3013,51,58,510,2116,1674,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,14.4,2,3.89,4,0
2056,50,80,408,217,659,159.3,110,27.08,170.6,120,14.5,141.2,82,6.35,11.9,5,3.21,1,0
3001,47,85,408,2116,659,89.8,88,15.27,233.2,75,19.82,165.7,116,7.46,9.3,7,2.51,4,1
1465,60,181,408,2116,1674,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1,0
2245,43,99,415,2116,1674,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2,0
2754,51,115,510,217,1674,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,1
3303,40,148,408,2116,659,241.7,84,41.09,165.8,84,14.09,160.6,80,7.23,11.3,3,3.05,1,0
2786,55,102,415,2116,1674,123.1,106,20.93,182.0,102,15.47,244.6,75,11.01,12.6,7,3.4,2,0
2403,50,160,415,2116,1674,171.2,103,29.1,243.5,121,20.7,178.2,92,8.02,13.0,3,3.51,2,0
3307,38,75,510,217,1674,153.2,78,26.04,210.8,99,17.92,153.5,100,6.91,7.8,3,2.11,1,0
1286,47,24,408,2116,1674,265.6,86,45.15,208.8,102,17.75,182.5,105,8.21,11.1,6,3.0,2,1
2047,63,68,510,2116,1674,226.7,94,38.54,168.4,129,14.31,188.7,117,8.49,10.2,1,2.75,0,0
334,45,21,415,2116,659,132.7,94,22.56,204.6,101,17.39,154.7,78,6.96,12.9,7,3.48,3,0
2415,51,109,415,2116,1674,193.6,58,32.91,148.7,115,12.64,282.5,105,12.71,13.1,1,3.54,2,0
767,52,193,415,2116,1674,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0
2998,40,55,415,2116,1674,245.5,130,41.74,192.7,54,16.38,141.7,83,6.38,9.1,4,2.46,1,0
2080,50,45,510,2116,659,135.8,104,23.09,222.5,101,18.91,235.6,92,10.6,7.9,6,2.13,2,0
2488,53,32,510,2116,659,243.5,137,41.4,236.8,108,20.13,173.3,149,7.8,9.0,9,2.43,1,0
70,40,87,415,2116,659,214.0,113,36.38,180.0,114,15.3,134.5,82,6.05,10.6,5,2.86,0,0
2251,40,89,415,2116,1674,179.7,128,30.55,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,0
632,44,67,415,2116,659,174.7,86,29.7,160.6,93,13.65,155.3,108,6.99,13.4,1,3.62,0,0
644,50,129,510,2116,659,196.6,89,33.42,180.6,95,15.35,245.0,83,11.03,6.6,5,1.78,1,0
560,47,35,408,2116,1674,158.6,67,26.96,130.4,96,11.08,229.8,80,10.34,6.9,5,1.86,2,0
2621,43,120,408,2116,1674,98.2,99,16.69,186.7,85,15.87,146.7,96,6.6,9.3,4,2.51,2,0
1415,52,126,415,2116,1674,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,0
391,51,135,415,2116,1674,218.8,123,37.2,242.8,64,20.64,85.8,80,3.86,10.3,3,2.78,4,0
1317,43,147,510,2116,1674,209.4,104,35.6,132.5,78,11.26,149.4,123,6.72,11.3,3,3.05,2,0
776,51,82,408,2116,1674,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0
2468,42,22,415,2116,1674,181.8,108,30.91,198.6,148,16.88,206.6,96,9.3,9.3,3,2.51,2,0
2041,40,119,408,2116,1674,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4.0,0,0
2397,50,132,415,2116,1674,190.1,105,32.32,182.2,116,15.49,279.8,105,12.59,13.0,2,3.51,1,0
635,56,105,408,2116,1674,232.6,96,39.54,253.4,117,21.54,154.0,101,6.93,10.5,9,2.84,1,0
2900,40,62,415,217,659,218.4,93,37.13,236.7,132,20.12,192.2,137,8.65,13.2,3,3.56,0,1
2896,42,121,408,2116,659,116.0,85,19.72,150.1,120,12.76,246.8,98,11.11,12.0,2,3.24,1,0
2430,51,132,415,2116,659,182.9,54,31.09,292.4,68,24.85,142.3,116,6.4,11.5,4,3.11,0,0
2088,51,79,415,2116,1674,144.0,90,24.48,135.8,91,11.54,212.4,129,9.56,13.0,4,3.51,1,0
2210,39,107,415,2116,1674,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1,0
573,50,72,510,2116,1674,287.4,116,48.86,235.3,126,20.0,292.1,114,13.14,5.0,3,1.35,4,1
2155,38,55,408,217,1674,221.0,115,37.57,165.4,97,14.06,235.4,117,10.59,9.7,4,2.62,1,0
643,44,87,408,2116,1674,186.9,79,31.77,182.6,105,15.52,143.1,90,6.44,4.2,14,1.13,1,0
3172,50,83,408,2116,1674,117.9,101,20.04,160.4,92,13.63,235.3,150,10.59,11.4,10,3.08,0,0
652,39,84,415,2116,1674,289.1,100,49.15,233.8,97,19.87,223.5,148,10.06,12.7,2,3.43,2,1
1151,51,53,415,2116,1674,57.5,95,9.78,265.5,131,22.57,244.3,128,10.99,11.6,6,3.13,3,0
1873,43,62,510,2116,1674,159.9,100,27.18,172.2,99,14.64,263.2,109,11.84,5.6,4,1.51,1,0
3312,52,100,408,217,1674,219.4,112,37.3,225.7,102,19.18,255.3,95,11.49,12.0,4,3.24,4,0
2449,25,137,415,2116,659,189.6,42,32.23,179.0,137,15.22,179.6,126,8.08,11.4,5,3.08,2,0
1983,44,132,408,2116,659,201.9,93,34.32,156.3,75,13.29,131.3,92,5.91,13.7,5,3.7,0,0
314,53,163,408,2116,1674,223.0,120,37.91,227.0,98,19.3,188.3,125,8.47,8.8,5,2.38,1,0
2521,42,106,510,2116,1674,159.6,94,27.13,276.8,118,23.53,223.5,65,10.06,8.8,3,2.38,0,0
1535,37,157,415,2116,1674,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,2.2,4,0.59,3,0
37,38,99,415,2116,1674,241.1,72,40.99,155.6,98,13.23,188.2,109,8.47,11.6,10,3.13,1,0
2729,63,61,415,2116,1674,197.3,67,33.54,264.5,106,22.48,210.5,116,9.47,9.0,6,2.43,1,0
2156,39,39,415,2116,1674,295.4,126,50.22,232.1,117,19.73,204.4,123,9.2,11.5,2,3.11,1,1
2644,57,138,415,2116,1674,251.0,119,42.67,91.2,96,7.75,142.2,87,6.4,13.8,3,3.73,3,0
1525,42,109,408,2116,1674,217.0,115,36.89,207.0,142,17.6,268.0,106,12.06,8.2,4,2.21,1,0
1483,53,87,415,2116,1674,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,0
1031,43,75,415,2116,1674,117.3,114,19.94,201.1,61,17.09,107.9,82,4.86,12.2,3,3.29,1,0
430,45,41,415,2116,1674,232.1,74,39.46,327.1,88,27.8,226.5,119,10.19,10.9,2,2.94,3,1
226,40,80,408,2116,1674,322.3,113,54.79,222.0,95,18.87,162.8,123,7.33,6.7,8,1.81,0,1
2141,44,119,408,217,659,147.2,103,25.02,160.1,96,13.61,184.0,120,8.28,7.7,2,2.08,0,1
861,40,110,408,2116,659,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9.0,9,2.43,2,0
520,50,116,415,2116,1674,245.9,73,41.8,240.1,87,20.41,158.7,89,7.14,8.9,5,2.4,3,0
280,38,89,415,2116,1674,141.1,92,23.99,249.1,126,21.17,136.0,73,6.12,10.8,2,2.92,2,0
1211,44,82,408,2116,1674,185.8,36,31.59,276.5,134,23.5,192.1,104,8.64,5.7,7,1.54,4,0
2635,56,88,415,2116,1674,55.6,65,9.45,242.7,121,20.63,176.3,134,7.93,11.3,4,3.05,0,0
2639,51,177,415,2116,1674,175.7,120,29.87,168.6,90,14.33,198.9,110,8.95,14.6,4,3.94,1,0
2129,42,148,510,217,1674,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2,0
988,56,16,510,2116,1674,229.6,78,39.03,205.7,108,17.48,166.2,91,7.48,10.8,2,2.92,0,1
2688,53,117,510,2116,659,205.7,98,34.97,136.1,107,11.57,159.4,147,7.17,8.7,3,2.35,2,0
2045,37,79,415,2116,1674,41.9,124,7.12,211.0,95,17.94,237.9,55,10.71,11.4,5,3.08,1,0
839,44,99,510,2116,1674,217.2,112,36.92,246.7,89,20.97,226.1,89,10.17,15.8,7,4.27,3,0
3258,40,87,415,2116,659,125.0,99,21.25,235.3,81,20.0,215.3,95,9.69,10.2,7,2.75,2,0
2369,50,146,408,2116,659,149.6,96,25.43,239.8,124,20.38,293.5,135,13.21,7.4,4,2.0,2,0
1377,41,108,408,2116,659,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,0
545,45,82,415,2116,659,137.8,95,23.43,235.5,128,20.02,268.1,70,12.06,11.0,6,2.97,2,0
650,51,148,408,2116,1674,243.0,115,41.31,191.8,91,16.3,117.8,93,5.3,13.4,5,3.62,2,0
1850,31,129,415,2116,1674,216.0,85,36.72,186.9,114,15.89,210.7,109,9.48,4.9,10,1.32,2,0
786,52,103,510,2116,1674,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,0
2451,75,94,415,2116,659,92.7,107,15.76,127.8,86,10.86,225.6,86,10.15,9.9,4,2.67,3,0
1262,51,33,415,2116,1674,213.9,88,36.36,239.8,119,20.38,148.7,71,6.69,9.8,14,2.65,2,0
2115,51,93,415,2116,659,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7,0
1836,56,78,408,2116,1674,87.0,102,14.79,193.6,64,16.46,205.8,120,9.26,11.0,5,2.97,0,0
2597,45,130,415,2116,1674,212.8,102,36.18,189.8,137,16.13,170.1,105,7.65,10.6,4,2.86,0,1
2942,57,99,510,2116,1674,128.3,78,21.81,215.3,120,18.3,143.7,140,6.47,14.3,9,3.86,2,0
2570,43,101,415,2116,1674,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,0.0,0,0.0,3,0
2299,47,121,408,2116,1674,213.2,79,36.24,120.7,116,10.26,244.4,102,11.0,7.5,4,2.03,1,0
1625,50,131,415,2116,659,249.6,87,42.43,227.2,138,19.31,239.9,92,10.8,7.6,3,2.05,3,0
503,63,53,415,2116,1674,164.1,106,27.9,206.0,56,17.51,194.7,124,8.76,11.4,2,3.08,1,0
3260,39,177,415,217,1674,248.7,118,42.28,172.3,73,14.65,191.9,87,8.64,11.3,2,3.05,1,1
2618,34,16,415,217,1674,110.0,91,18.7,147.3,75,12.52,190.5,73,8.57,6.4,7,1.73,0,0
2922,63,30,408,2116,1674,54.0,68,9.18,179.3,96,15.24,247.2,101,11.12,10.2,8,2.75,1,0
104,38,67,510,2116,1674,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,9.2,10,2.48,4,0
3151,63,91,415,2116,1674,133.8,61,22.75,158.8,96,13.5,189.6,92,8.53,10.5,2,2.84,1,0
3149,52,68,415,2116,1674,94.1,93,16.0,147.6,80,12.55,213.5,85,9.61,10.1,2,2.73,0,0
1533,39,57,415,2116,659,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1,0
900,44,132,510,2116,1674,99.5,110,16.92,129.1,80,10.97,125.1,124,5.63,9.7,3,2.62,0,0
2075,60,149,415,2116,1674,242.5,83,41.23,245.4,97,20.86,219.6,80,9.88,10.0,3,2.7,3,1
3027,41,24,408,2116,1674,149.0,73,25.33,131.0,81,11.14,238.6,69,10.74,8.6,3,2.32,2,1
1900,56,169,415,2116,1674,235.7,79,40.07,136.9,85,11.64,220.9,97,9.94,13.3,10,3.59,1,0
3206,56,91,408,2116,659,216.6,101,36.82,173.1,98,14.71,242.1,95,10.89,9.1,3,2.46,1,0
3141,50,174,510,2116,1674,235.5,108,40.04,142.3,143,12.1,316.7,131,14.25,12.5,5,3.38,0,0
1777,38,103,510,2116,1674,166.6,84,28.32,192.4,91,16.35,167.9,115,7.56,7.7,6,2.08,1,0
1743,60,89,415,2116,1674,89.5,66,15.22,179.3,104,15.24,225.1,116,10.13,12.3,1,3.32,3,0
3006,25,87,415,2116,659,165.8,122,28.19,186.9,89,15.89,249.7,78,11.24,0.0,0,0.0,1,0
2606,45,99,510,217,659,126.8,94,21.56,293.6,115,24.96,174.1,91,7.83,8.4,4,2.27,0,0
1887,75,113,415,2116,1674,61.2,111,10.4,92.3,88,7.85,197.4,114,8.88,13.7,3,3.7,5,1
2905,50,77,408,2116,1674,185.9,95,31.6,212.0,98,18.02,282.3,81,12.7,11.3,4,3.05,3,0
752,50,122,408,2116,1674,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0
937,47,66,510,2116,1674,201.3,95,34.22,152.8,66,12.99,233.2,101,10.49,7.5,4,2.03,1,0
1543,60,117,415,2116,1674,144.6,115,24.58,258.8,66,22.0,253.2,113,11.39,7.4,9,2.0,2,0
1416,60,132,510,2116,1674,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1,0
2591,56,68,510,2116,659,122.9,93,20.89,233.5,91,19.85,199.5,144,8.98,9.6,2,2.59,2,0
1561,51,106,415,217,659,270.3,111,45.95,215.2,90,18.29,254.0,133,11.43,14.4,7,3.89,1,1
442,52,29,510,2116,1674,313.2,103,53.24,216.3,151,18.39,218.4,106,9.83,12.8,4,3.46,2,1
1382,56,73,415,2116,1674,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,0
1560,56,144,415,2116,659,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2,0
145,40,176,415,2116,1674,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,0
2683,41,115,408,2116,1674,178.7,114,30.38,271.0,96,23.04,245.9,94,11.07,16.4,5,4.43,2,0
21,45,63,415,2116,1674,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,0
3163,37,98,408,2116,659,110.3,71,18.75,182.4,108,15.5,183.8,88,8.27,11.0,8,2.97,2,0
2516,60,190,415,2116,1674,142.9,96,24.29,177.9,96,15.12,113.3,117,5.1,6.6,4,1.78,0,0
2482,51,94,408,2116,1674,207.0,109,35.19,167.4,80,14.23,238.2,117,10.72,2.6,6,0.7,1,0
1320,37,64,415,2116,1674,194.2,147,33.01,173.4,87,14.74,268.7,114,12.09,5.5,2,1.49,2,0
864,47,138,510,2116,1674,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,0
2613,45,68,415,2116,1674,232.4,76,39.51,153.3,103,13.03,214.6,107,9.66,10.5,2,2.84,1,0
2745,60,123,415,2116,1674,123.2,104,20.94,190.0,117,16.15,170.3,95,7.66,12.9,5,3.48,4,1
64,60,77,510,2116,1674,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,0
930,43,143,408,2116,659,239.2,109,40.66,235.5,112,20.02,156.3,95,7.03,9.5,4,2.57,1,0
288,45,97,408,2116,1674,169.7,84,28.85,165.9,86,14.1,191.9,83,8.64,12.8,6,3.46,3,0
2831,42,92,415,2116,659,152.0,95,25.84,274.9,73,23.37,162.4,121,7.31,10.0,1,2.7,2,0
2324,45,100,415,2116,1674,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1,0
1721,37,190,408,2116,1674,150.9,86,25.65,268.6,129,22.83,179.9,73,8.1,14.7,1,3.97,1,0
891,37,148,510,217,1674,218.9,88,37.21,208.0,85,17.68,203.3,99,9.15,11.1,4,3.0,0,0
2148,52,101,408,2116,1674,239.0,156,40.63,273.0,106,23.21,278.2,93,12.52,13.5,8,3.65,1,1
3144,60,54,510,217,1674,236.3,91,40.17,152.8,130,12.99,160.3,98,7.21,11.2,8,3.02,3,0
2162,40,27,408,2116,1674,236.7,110,40.24,231.9,92,19.71,164.7,85,7.41,12.7,6,3.43,1,0
3010,45,127,415,217,1674,256.5,87,43.61,222.1,101,18.88,156.7,122,7.05,13.0,3,3.51,1,0
1964,50,72,415,2116,1674,165.9,114,28.2,235.9,97,20.05,210.1,120,9.45,12.0,5,3.24,2,0
1718,51,97,510,217,1674,236.9,107,40.27,157.6,105,13.4,241.0,120,10.85,7.3,2,1.97,0,1
2699,47,88,510,2116,1674,144.3,116,24.53,156.4,74,13.29,214.7,90,9.66,7.8,10,2.11,3,0
2837,56,72,408,2116,1674,179.9,113,30.58,149.8,112,12.73,168.2,79,7.57,9.8,7,2.65,2,0
1008,45,141,415,2116,659,206.9,126,35.17,264.4,126,22.47,171.8,124,7.73,9.3,11,2.51,2,0
3109,51,110,510,2116,1674,18.9,92,3.21,258.4,81,21.96,109.6,74,4.93,14.8,4,4.0,1,0
1767,52,101,510,2116,1674,0.0,0,0.0,192.1,119,16.33,168.8,95,7.6,7.2,4,1.94,1,0
143,43,123,408,2116,1674,159.1,94,27.05,241.6,119,20.54,202.4,120,9.11,6.5,1,1.76,1,0
1298,42,84,510,2116,1674,191.0,88,32.47,318.8,119,27.1,247.3,79,11.13,6.5,4,1.76,0,0
1187,50,105,408,2116,1674,213.4,100,36.28,204.9,52,17.42,179.7,93,8.09,9.5,6,2.57,1,0
3150,40,27,510,2116,1674,226.3,95,38.47,274.3,109,23.32,242.7,119,10.92,8.2,3,2.21,2,1
920,43,103,415,2116,659,121.0,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,0
557,45,81,415,2116,1674,173.2,80,29.44,236.2,94,20.08,240.2,84,10.81,11.8,6,3.19,2,0
2225,44,131,415,2116,1674,112.8,133,19.18,199.4,116,16.95,142.7,105,6.42,10.1,5,2.73,0,0
157,52,86,510,2116,659,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,0
1772,39,126,510,2116,1674,175.4,120,29.82,98.3,71,8.36,201.9,93,9.09,10.6,1,2.86,0,0
1973,50,110,408,2116,1674,222.7,94,37.86,105.8,98,8.99,214.8,78,9.67,13.5,4,3.65,1,0
2902,50,130,408,2116,659,185.0,117,31.45,249.5,141,21.21,157.8,103,7.1,7.4,7,2.0,0,0
527,53,189,415,2116,659,155.2,116,26.38,195.5,50,16.62,170.1,108,7.65,15.4,6,4.16,1,0
1069,51,93,415,217,1674,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,1
3139,51,82,415,2116,1674,135.4,102,23.02,237.1,122,20.15,118.3,91,5.32,17.5,4,4.73,0,0
3091,39,123,415,2116,659,197.6,105,33.59,80.0,86,6.8,120.8,82,5.44,15.6,12,4.21,2,0
604,45,88,415,2116,1674,172.8,81,29.38,193.4,90,16.44,89.6,107,4.03,12.8,5,3.46,2,0
1186,60,140,415,2116,1674,235.5,81,40.04,257.2,130,21.86,103.1,111,4.64,11.5,4,3.11,2,0
2541,45,124,415,2116,1674,253.5,104,43.1,117.9,123,10.02,248.5,104,11.18,14.0,2,3.78,0,0
3036,43,145,415,2116,1674,245.8,116,41.79,286.7,91,24.37,240.7,115,10.83,9.0,13,2.43,1,1
390,40,91,415,2116,1674,153.0,123,26.01,141.1,127,11.99,171.5,76,7.72,10.3,15,2.78,1,1
1400,56,80,415,2116,1674,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,0
2046,43,35,415,2116,1674,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1,0
1466,50,168,415,2116,659,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,0
50,50,64,510,2116,659,94.4,104,16.05,136.2,101,11.58,147.4,89,6.63,4.5,4,1.22,0,0
852,37,88,408,2116,1674,65.4,97,11.12,168.2,76,14.3,236.0,113,10.62,13.8,1,3.73,2,0
447,44,123,415,2116,1674,150.0,98,25.5,89.8,95,7.63,326.0,91,14.67,11.1,3,3.0,3,0
264,45,163,510,2116,1674,178.7,56,30.38,215.7,79,18.33,152.7,84,6.87,10.6,2,2.86,4,0
854,31,126,408,2116,659,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,0
3099,47,75,415,2116,659,248.9,93,42.31,170.8,108,14.52,104.5,91,4.7,11.2,8,3.02,1,0
1132,50,113,415,2116,1674,209.4,151,35.6,347.3,113,29.52,246.0,116,11.07,7.4,2,2.0,1,1
697,43,72,415,2116,659,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0
809,44,94,415,2116,1674,252.6,104,42.94,169.0,125,14.37,170.9,106,7.69,11.1,7,3.0,2,0
2215,51,52,415,2116,1674,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4,1
2109,37,116,415,2116,659,253.0,78,43.01,138.9,121,11.81,277.8,104,12.5,11.8,3,3.19,2,0
1438,60,21,510,2116,659,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6,0
2194,37,110,510,2116,1674,188.0,127,31.96,90.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,0
136,47,27,510,2116,1674,193.8,102,32.95,118.9,104,10.11,135.9,124,6.12,9.2,3,2.48,0,0
1124,63,186,415,2116,659,74.3,107,12.63,177.3,116,15.07,296.3,90,13.33,14.5,3,3.92,2,0
1843,53,116,415,2116,659,230.6,94,39.2,224.1,103,19.05,244.0,76,10.98,11.1,2,3.0,0,0
513,51,90,408,2116,659,156.7,51,26.64,236.5,118,20.1,123.2,111,5.54,12.6,6,3.4,2,0
1226,50,106,415,2116,1674,114.4,104,19.45,78.3,101,6.66,232.7,78,10.47,0.0,0,0.0,2,0
1472,45,41,415,2116,1674,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1,0
3205,51,52,415,2116,1674,204.4,97,34.75,273.2,128,23.22,179.6,118,8.08,11.0,5,2.97,1,0
915,51,110,415,2116,659,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1,0
452,39,122,415,2116,1674,168.3,96,28.61,87.6,91,7.45,247.2,87,11.12,8.4,6,2.27,1,0
1495,42,102,415,2116,1674,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,0
974,50,95,415,217,1674,165.5,84,28.14,286.2,112,24.33,198.9,89,8.95,11.5,2,3.11,1,1
1805,43,160,415,2116,1674,174.3,105,29.63,171.3,107,14.56,220.8,131,9.94,8.3,2,2.24,0,0
795,51,83,415,2116,1674,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,1
243,39,155,408,2116,1674,216.7,30,36.84,144.3,125,12.27,135.3,106,6.09,10.8,1,2.92,2,0
537,41,80,408,2116,1674,51.5,90,8.76,164.0,98,13.94,169.4,80,7.62,9.5,4,2.57,3,0
3325,50,117,415,2116,1674,118.4,126,20.13,249.3,97,21.19,227.0,56,10.22,13.6,3,3.67,5,1
1694,57,87,415,2116,1674,171.6,119,29.17,205.0,107,17.43,170.6,114,7.68,13.8,4,3.73,0,0
3232,43,53,415,2116,659,131.2,63,22.3,227.4,125,19.33,178.9,105,8.05,12.8,2,3.46,2,0
3268,45,55,415,2116,1674,132.0,103,22.44,279.6,114,23.77,180.0,74,8.1,13.5,4,3.65,0,0
1521,38,64,408,2116,659,291.1,150,49.49,226.7,123,19.27,219.1,67,9.86,7.5,2,2.03,1,0
